criterion,max_depth,max_features,min_samples_leaf,min_samples_split,random_state,splitter,score
gini,12,sqrt,4,16,128,random,0.6329199237929147
gini,12,sqrt,4,32,128,best,0.635944781575374
gini,12,sqrt,4,32,128,random,0.6329849185581664
gini,12,sqrt,4,64,128,best,0.6202359264666645
gini,12,sqrt,4,64,128,random,0.6263536878559811
gini,12,sqrt,4,128,128,best,0.6365666390895217
gini,12,sqrt,4,128,128,random,0.6260617004475857
gini,12,sqrt,4,256,128,best,0.6392807505869483
gini,12,sqrt,4,256,128,random,0.6231843615340221
gini,12,sqrt,8,1,128,best,0.6283371863955108
gini,12,sqrt,8,1,128,random,0.6386142564979974
gini,12,sqrt,8,2,128,best,0.6283371863955108
gini,12,sqrt,8,2,128,random,0.6386142564979974
gini,12,sqrt,8,4,128,best,0.6283371863955108
gini,12,sqrt,8,4,128,random,0.6386142564979974
gini,12,sqrt,8,8,128,best,0.6283371863955108
gini,12,sqrt,8,8,128,random,0.6386142564979974
gini,12,sqrt,8,16,128,best,0.6283371863955108
gini,12,sqrt,8,16,128,random,0.6386142564979974
gini,12,sqrt,8,32,128,best,0.6358832958187185
gini,12,sqrt,8,32,128,random,0.63061253104219
gini,12,sqrt,8,64,128,best,0.6229545966669835
gini,12,sqrt,8,64,128,random,0.6211337030417828
gini,12,sqrt,8,128,128,best,0.624964374267431
gini,12,sqrt,8,128,128,random,0.6297918363328459
gini,12,sqrt,8,256,128,best,0.6241399430483173
gini,12,sqrt,8,256,128,random,0.6250833956679817
gini,12,sqrt,16,1,128,best,0.6261378751860119
gini,12,sqrt,16,1,128,random,0.631905807592069
gini,12,sqrt,16,2,128,best,0.6261378751860119
gini,12,sqrt,16,2,128,random,0.631905807592069
gini,12,sqrt,16,4,128,best,0.6261378751860119
gini,12,sqrt,16,4,128,random,0.631905807592069
gini,12,sqrt,16,8,128,best,0.6261378751860119
gini,12,sqrt,16,8,128,random,0.631905807592069
gini,12,sqrt,16,16,128,best,0.6261378751860119
gini,12,sqrt,16,16,128,random,0.631905807592069
gini,12,sqrt,16,32,128,best,0.6261378751860119
gini,12,sqrt,16,32,128,random,0.631905807592069
gini,12,sqrt,16,64,128,best,0.6336895676763931
gini,12,sqrt,16,64,128,random,0.6187683285415015
gini,12,sqrt,16,128,128,best,0.6330632093562486
gini,12,sqrt,16,128,128,random,0.6022564089341668
gini,12,sqrt,16,256,128,best,0.6300328917069699
gini,12,sqrt,16,256,128,random,0.6317758541468245
gini,12,sqrt,32,1,128,best,0.6304317300753084
gini,12,sqrt,32,1,128,random,0.6374164854372149
gini,12,sqrt,32,2,128,best,0.6304317300753084
gini,12,sqrt,32,2,128,random,0.6374164854372149
gini,12,sqrt,32,4,128,best,0.6304317300753084
gini,12,sqrt,32,4,128,random,0.6374164854372149
gini,12,sqrt,32,8,128,best,0.6304317300753084
gini,12,sqrt,32,8,128,random,0.6374164854372149
gini,12,sqrt,32,16,128,best,0.6304317300753084
gini,12,sqrt,32,16,128,random,0.6374164854372149
gini,12,sqrt,32,32,128,best,0.6304317300753084
gini,12,sqrt,32,32,128,random,0.6374164854372149
gini,12,sqrt,32,64,128,best,0.6304317300753084
gini,12,sqrt,32,64,128,random,0.6374164854372149
gini,12,sqrt,32,128,128,best,0.6161668057146718
gini,12,sqrt,32,128,128,random,0.6301616790343937
gini,12,sqrt,32,256,128,best,0.6138842208373038
gini,12,sqrt,32,256,128,random,0.6213039362784684
gini,12,sqrt,64,1,128,best,0.6202582150715501
gini,12,sqrt,64,1,128,random,0.6183292655054632
gini,12,sqrt,64,2,128,best,0.6202582150715501
gini,12,sqrt,64,2,128,random,0.6183292655054632
gini,12,sqrt,64,4,128,best,0.6202582150715501
gini,12,sqrt,64,4,128,random,0.6183292655054632
gini,12,sqrt,64,8,128,best,0.6202582150715501
gini,12,sqrt,64,8,128,random,0.6183292655054632
gini,12,sqrt,64,16,128,best,0.6202582150715501
gini,12,sqrt,64,16,128,random,0.6183292655054632
gini,12,sqrt,64,32,128,best,0.6202582150715501
gini,12,sqrt,64,32,128,random,0.6183292655054632
gini,12,sqrt,64,64,128,best,0.6202582150715501
gini,12,sqrt,64,64,128,random,0.6183292655054632
gini,12,sqrt,64,128,128,best,0.6202582150715501
gini,12,sqrt,64,128,128,random,0.6183292655054632
gini,12,sqrt,64,256,128,best,0.6279904321300734
gini,12,sqrt,64,256,128,random,0.612027508577138
gini,12,sqrt,128,1,128,best,0.6245468809808193
gini,12,sqrt,128,1,128,random,0.6142362962990118
gini,12,sqrt,128,2,128,best,0.6245468809808193
gini,12,sqrt,128,2,128,random,0.6142362962990118
gini,12,sqrt,128,4,128,best,0.6245468809808193
gini,12,sqrt,128,4,128,random,0.6142362962990118
gini,12,sqrt,128,8,128,best,0.6245468809808193
gini,12,sqrt,128,8,128,random,0.6142362962990118
gini,12,sqrt,128,16,128,best,0.6245468809808193
gini,12,sqrt,128,16,128,random,0.6142362962990118
gini,12,sqrt,128,32,128,best,0.6245468809808193
gini,12,sqrt,128,32,128,random,0.6142362962990118
gini,12,sqrt,128,64,128,best,0.6245468809808193
gini,12,sqrt,128,64,128,random,0.6142362962990118
gini,12,sqrt,128,128,128,best,0.6245468809808193
gini,12,sqrt,128,128,128,random,0.6142362962990118
gini,12,sqrt,128,256,128,best,0.6245468809808193
gini,12,sqrt,128,256,128,random,0.6142362962990118
gini,12,sqrt,256,1,128,best,0.6078909336203385
gini,12,sqrt,256,1,128,random,0.6071887397320528
gini,12,sqrt,256,2,128,best,0.6078909336203385
gini,12,sqrt,256,2,128,random,0.6071887397320528
gini,12,sqrt,256,4,128,best,0.6078909336203385
gini,12,sqrt,256,4,128,random,0.6071887397320528
gini,12,sqrt,256,8,128,best,0.6078909336203385
gini,12,sqrt,256,8,128,random,0.6071887397320528
gini,12,sqrt,256,16,128,best,0.6078909336203385
gini,12,sqrt,256,16,128,random,0.6071887397320528
gini,12,sqrt,256,32,128,best,0.6078909336203385
gini,12,sqrt,256,32,128,random,0.6071887397320528
gini,12,sqrt,256,64,128,best,0.6078909336203385
gini,12,sqrt,256,64,128,random,0.6071887397320528
gini,12,sqrt,256,128,128,best,0.6078909336203385
gini,12,sqrt,256,128,128,random,0.6071887397320528
gini,12,sqrt,256,256,128,best,0.6078909336203385
gini,12,sqrt,256,256,128,random,0.6071887397320528
gini,12,log2,1,1,128,best,0.6193598031972819
gini,12,log2,1,1,128,random,0.579509961666914
gini,12,log2,1,2,128,best,0.6193598031972819
gini,12,log2,1,2,128,random,0.579509961666914
gini,12,log2,1,4,128,best,0.624804523008176
gini,12,log2,1,4,128,random,0.5798859022075407
gini,12,log2,1,8,128,best,0.6180629885872451
gini,12,log2,1,8,128,random,0.5609906461060635
gini,12,log2,1,16,128,best,0.6356994053157218
gini,12,log2,1,16,128,random,0.5592103709197387
gini,12,log2,1,32,128,best,0.6091771006774999
gini,12,log2,1,32,128,random,0.5417379465515259
gini,12,log2,1,64,128,best,0.5988315665387226
gini,12,log2,1,64,128,random,0.5639761017782963
gini,12,log2,1,128,128,best,0.6315042268505994
gini,12,log2,1,128,128,random,0.5601033722563938
gini,12,log2,1,256,128,best,0.600907609917482
gini,12,log2,1,256,128,random,0.5534846884691862
gini,12,log2,2,1,128,best,0.6176461807288339
gini,12,log2,2,1,128,random,0.5727018014603833
gini,12,log2,2,2,128,best,0.6176461807288339
gini,12,log2,2,2,128,random,0.5727018014603833
gini,12,log2,2,4,128,best,0.6176461807288339
gini,12,log2,2,4,128,random,0.5727018014603833
gini,12,log2,2,8,128,best,0.5977299721302053
gini,12,log2,2,8,128,random,0.5722558208798915
gini,12,log2,2,16,128,best,0.6041079636210505
gini,12,log2,2,16,128,random,0.5666896421473608
gini,12,log2,2,32,128,best,0.6163014098138179
gini,12,log2,2,32,128,random,0.5645031960941732
gini,12,log2,2,64,128,best,0.6073628612674775
gini,12,log2,2,64,128,random,0.5689285981386712
